"","documents"
"1044","Really good service, the staff is very serviceminded and helpfull! We felt us very welcome when we arrived, even though is was fully booked and we didnt hade any reservation they made us a table. The food were delicious and the restaurang is really cozy....More"
"1045","Great authentic Greek /Cypriot food, very friendly staff, excellent service and great value for money on the portions. I have went for the chefs mix grill with a few starters, really tender kebabs, big variety on the mix and one of the biggest portions I...More"
"1046","The best Greek cuisine in London I have visited you 4 times. One big minus a very small piece of feta cheese in Greek salads. The smallest I have seen so far. If that does not change, it will not come back to you."
"1047","Atmosphere: Traditional Greek, fitting music and wonderful setting Food: all the items from the grill were perfectly done. The saganaki is exactly like the one we ate in Greece! Service: wonderful, friendly service. The type of waiters you can have a chat with!"
"1048","On our vacation to London this restaurant has been our top restaurant so far. Everything was awesome from the food to the service, can't say enough on how good everything was. I would highly recommend this place and can't wait to come here again on...More"
"1049","I came here with my family on the weekend and I have to say the food was to die for. Not we're we only greeted properly at the door and taken to our table with no issues the service was outstanding.Such a great atmosphere...More"
"1050","This restaurant was recommended to me by my brother who goes here alot with his wife. The food was excellent & the staff friendly. I had the mixed meze with my partner. The food was so plentiful we had to get a doggy bag. The...More"
"1051","Excellent Service, Excellent Food, Excellent Value for money.Traditional food and great atmosphere.Generous good quality portions ."
"1052","The best greek-cypriot tavern in London.Great food and very friendly persons there especially mrs Stellios !!You have to visit it for sure!!"
"1053","Excellent option for dinner for the middle of the week. Conveniently located 10 mins walking from Camden Town.The service is what makes this place special , the owner took good care of us and this is the reason why we are coming back soon....More"
"1054","One of the best restaurants i have visited in London , coming from Cyprus , i was feeling like i was back home ,amazing atmosphere with excellent tasty dishes !! Would recommend!!!"
"1055","I go here a few times and never a bad experience always smiling on point with service and such an amazing atmosphere"
"1056","Warm atmosphere inside , friendly staff and the food was very tasty with generous portions. Would recommend."
"1057","Authentic taste of Cyprus I visited Alexandra the great last night (9th.03.17) and as a Greek Cypriot I was overwhelmed by the accuracy of the food. We where welcomed into the restaurant by the owner Stelios who was extremely friendly and he showed us...More"
"1058","Best Greek food I have ever had!! Very friendly staff. We had the lamb shoulder which so tender and falls off the bone. We also shared a mixed grill and all the meat was grilled to perfection. This restaurant is a must visit!!!"
"1059","Came here whilst in London for work and a lovely choice! Beautiful food the seabass was gorgeous and the lamb my friend had was huge! Such friendly and helpful staff even when busy! IfYou are looking for a lovely authentic Greek with friendly staff...More"
"1060","Very good Greek restaurant.Very friendly staff.Busy restaurant.Good mezze and good moussaka"
"1061","A chilled evening with friends, we were treated very well- even though there was a big party in as well. The set menu is great value for money for a weeknight meal in central Camden, be sure to ask about it! And make sure you...More"
"1062","We have been searching for a Greek Restaurant that made us feel as though we were back in Santorini and now we have found it. The flavours were just as I remember and the lamb was cooked to perfection! We will definitely return for more!"
"1063","Absolutely brilliant. Fantastic food super service, lamb kleftico so tender, mixed kebabs full of flavour will definitely be back next time were in London."
"1064","Went in on a Saturday night with my girlfriend. We hadn't booked but they kindly made space for us. The service was good the food was beautiful and the prices were reasonable too. Would definitely eat here again"
"1065","Very nice food and service. The boss Alexander is a great guy and did the service. Definitely will come back soon."
"1066","I have been on Valentine's day as well price of set menu we pay that kind of restaurant it's not worth it end of the meal they ask drinks on the house of writing feedback on tripadwiser now I am understand how earth this restaurant...More"
"1067","Great food, great atmosphere, lovely staff and very good prices! Generous portions!! Would definitely recommend this place."
"1068","had a really good time there with my friends. dont forget to ask about set menus. great staff!! "
"1069","The owner (i think it was the owner) made sure every individual was made to have a good time. Great friendly environment. Will come back"
"1070","My husband and I enjoyed our stop in for dinner at this restaurant.  There was plenty of attention from the staff and we had a great meal.  We had a variety plate of the hummus and dips and the mousaka was wonderful.  My husband went...More"
"1071","Wonderful staff, vibrant atmosphere and a birthday to remember for years and years. Thank you to all the team, especially Nico and Daphne!"
"1072","From our warm welcome by the engaging host to a reluctant farewell at the foliage-boardered entrance at the end of the evening, this was a charming visit to Camden's delightful Greek restaurant. We enjoyed creamy tzatziki and crisp spanakopita to start, followed by filling moussaka...More"
"1073","I visited this restaurant at lunch time. The lunch menu is brilliant. You pay 6.50 for two-course. My choice was lamb, whereas my colleague had chicken. Both dishes were delicious. You can see that they take their time to cook their food with the best...More"
"1074","I came with friends to Alexander the Great. We had the meme which was beautifully cooked and great value for the amount I f food we ate. Alexander the Great always delivers quality and value. Amazing!!!! Thanks again guys!"
"1075","We visited for Sunday lunch and had a wonderful meal! The menu is extensive and we had an amazing meze course to share - the food was delicious and just kept on coming. The waiters were really attentive and friendly without being intrusive; would wholly...More"
"1076","Amazing food,service, and traditional atmosphere!. Just like my Greek village in Cyprus. Would recommend to anyone! 5 stars !"
"1077","Excellent food. Amazing atmosphere. The staff were fantastic and very helpful and pleasant. I recommend to everyone. Very traditional and made me think of my lovely Cyprus"
"1078","So full! The dips were amazing and very good value with very large serves. The service staff were very friendly"
"1079","I have been to Alexander last week with my family and I was extremely pleased to have finally found and authentic Greek restaurant in london! The restaurant is very clean and cozy, I really liked the decorations of the rooms! The service is stunning very...More"
"1080","Have been coming here for two years...best Greek restaurant in London! perfect food perfect staff and perfect  service! Thank you!!"
"1081","I visited Alexander The Great lastnight with 21 of my friends and family for my birthday. The experience from start to finish exceeded every expectation that I had. From the friendly and fun staff to the amazing food ( I have high standards for my...More"
"1082","I' ve been there and it's a very good place for eat and enjoy ! Expecially the waiter Chris , he's always very nice with me and my friends ! I really raccomand this place !"
"1083","Came here for the 8th birtday of Madge. Had a great time all together. Very nice food and a good service!"
"1084","I have fall in love with this cosy and nice restaurant when I was just arrived in London and it is still my favourite place to bring over friends and family to have really nice food, big portion, nice environment and lot of fun. Try...More"
"1085","I have watched this place grow and improve over the years. It is now a busy thriving authentic Greek restaurant in busy Camden. It is certainly not a fast food tourist spot. Stelios the owner is unique and attentive. He cares about what food is...More"
"1086","Enjoyed great meal here tonightLovely Alexander kebab & moussakaTahini & aubergine salad to startHouse wine is Greek so you know what you are gettingGreat service and the guy doing front of house is very engaging Complimentary baklavaIf we had to...More"
"1087","I was there for new year's eve with my family and friends and we had great time. The food was very tasty, the service was amazing  and the people were very friendly. The atmosphere was very good and made us very happy to choose this...More"
"1088","I have no words to describe the experience! It even started before I got to the restaurant. Daphne sorted everything out for the New Year's Eve and we even have to cancel our plan to go to the primrose hill to watch The fireworks! Food...More"
"1089","Very friendly owner. Great food. I had the moussaka and got a big salade with that. It tasted like heaven. My boyfriend had a vegetarian plate. As a starter we had the calamares with amazing bread. As i couldn t finish my plate (portions are...More"
"1090","I've been coming here a few times and I always have the best experience. The atmosphere and the decor always makes me feel like I'm in Cyprus; and I haven't even eaten yet! The food is all fresh and is prepared that day so you're...More"
"1091","We tried to go for dinner, but it is better to book a table in advance, so we went for lunch.The food was really good and the service fast!"
"1092","This restaurant is top quality, the food and the taste was amazing. We wne for cold and hot meze and the dishes were not finishing, so much variety and lot of really great food. Look forward to returning."
"1093","Outstanding food, best quality, great service..The food was divine, served in extremely generous quantities. I couldn't ask more from this place which serves quality traditional Greek by an amazing and friendly staff.We had an amazing time, I couldn't recommend this place more, quality,...More"
"1094","Great service, great food, great atmosphere! We had the set meal. Come empty stomached if you order this...!Quality AND quantity.....!Happy days! :-)"
"1095","We chose this restaurant as a venue for Christmas meal with friends and work  colleagues, good reviews  made it an attractive venue . The food was good service friendly , however when the bill came it was a bit of a shock and difficult to...More"
"1096","Booked a table having visited earlier in the year. We travelled down from York to celebrate my 70th birthday without London family. We were made to f el welcome and the service was excellent despite being busy. On their recommendation we ordered three meze meals...More"
"1097","As a Greek it's not easy to find a genuine restaurant to eat. Alexander the Great is without a doubt the most original Greek places you can find! It gives the impression you re not in London, but on a Greek island! Food quality is...More"
"1098","Delicious food, real Greek Cypriot food. One of the best in London! Amazing and very nice stuff. Pleasant music and entertainment . A****"
"1099","As well as the food being incredible, we really noticed how welcoming the owners are. It felt like having dinner with our family.Everything tastes great (halloumi, keftedes, kleftiko, moussaka), and you certainly won't go home hungry! We'll definitely be back, this is our new...More"
"1100","The food was amazing and authentic. Come and try cause there are no words to describe it! Alexander the Great"
"1101","Exellent food and great service. Worth coming for dinner or lunch. Had typical greek meze.Very good prices also"
"1102","Amazing cuisine with delicious plates. Extra ordinary menu. Excellent hospitality. Original Greek Taste! Recommended 100%!"
"1103","Been going to this restaurant for years and today meal was really good! Great food and what a lovely meze! The staff, atmosphere and ambience is relaxed, friendly and great!!"
"1104","We had a great lunch here this past weekend. I had scallops for my main and it was beautiful (one of best meals I have ever had) as was the house white wine which is normally cheap and not nice at other restaurants but here...More"
"1105","Myself and my girlfriend visited at 5pm Thursday. We ate moussaka and baklava and both were top class. The service was also as good as it could be, we were made to feel welcome and we're very well looked after.If I want Greek food...More"
"1106","I came with with a friend here as its my favourite restaurant. We had meze and it was perfectly cooked and the service was excellent.Thank you for thee beautiful atmosphere and meal. Bravo Alexander The Great!"
"1107","A group of us ate here late afternoon today. We couldn't have been more looked after. The food was totally fantastic and all seven of us cleared our plates. Can't recommend this place enough and look forward to another meal here soon. Thank you from...More"
"1108","Food is always the best around, very friendly service and staff, quick food and they always make you feel valued."
"1109","Come and try cause there are no words to describe it! Lamb is absolutelly fantastic and so does the beef."
"1110","Not only that the food is amazing but the service is great too. We're definetely coming back! Many thanks"
"1111","Fantastic restaurant! We booked a table in advance, and had no problems when we arrived, being greeted by the friendly manager. Not only did we have excellent service throughout the meal, which was fantastic and not lacking in quantity, but the manager was kind enough...More"
"1112","arrived from cyprus on friday and recommended this restaurant.  i can see why the reviews are so good. the food is plenty. the restaurant is very authentic. the price is really good.  very close to train station too!"
"1113","Called in speculatively after finding it on TripAdvisor.  Asked if they could squeeze me and my Dad in for a quick meal - which they managed to do. The service was brilliant - recommended dishes and drinks. We both had the Kleftico - which was...More"
"1114","My friends and I all ordered the mixed grill which was an excellent combination of chicken, lamb, pork and salad. We also had a minced pork ball starter which was also fantastic. All portions were very well sized and excellent value for money. Will definitely...More"
"1115","Small, very cosy and friendly place. Lovely food and massive portions. Very reasonable prices. Would definately recommend ."
"1116","Once again I visited my favourite Greek restaurant in London and once again I was notbdisspaonted with the quality, authenticity and quantity of food offered by Alexander's. Probably the best mixed kebab outside of Cyprus."
"1117","Excellent Greek cuisine and nice friendly staff .We have ordered fish and meet and all of them was fresh and advised by the Waitrose . I had so much food that I had to bring it home ... the portions are honest and also...More"
"1118","As I said , best steak in london , great service, warm people and good food. I think it's a place to recommend, also the place is very romantic and beautifull. Been  with my girlfriend , we loved it ! :D  Mersi"
"1119","Our family of 8 had a great night. Good Greek food in unique room and served by a intense personal owner. The food could have been more spicy, though."
"1120","I've been wanting to write a review about this place but kept forgetting to get on with it so here I am one year later. I had moussaka and my partner at the time had a simple vegetable salad. My moussaka had clearly come from...More"
"1121","We happened upon this restaurant having tried to get into another Greek restaurant more locally, which was too busy. This restaurant was really full for mid week in October tooThe owner/manager was very welcoming although didn't really seem to listen to us when we...More"
"1122","Loved it, very genuine.Amazing ambient.We loved the stifatto and the dancing of the owner.Perfect mix of dinner and atmosphere."
"1123","Alexander must be the greatest..... Greek restaurant in London! Great food, fantastic service and a unique experience- highly recommended."
"1124","I've been to a lot of great Greek restaurants in London, but Alexander The Great is by far the best. The experience, the food and the people are all amazing. You cannot go to Camden without coming to this place!"
"1125","What a lovely surprise. Never been before but definitely on our revisit list. Lovely family run with friendly cosy atmosphere without being intrusive. Food delicious. Next London family get together....we'll be back!"
"1126","Great service, very friendly. But food was not that great - portion sizes hit and miss. I had lamb which was big and okay in taste, but boyfriend has moussaka and it was a tiny portion - very underwhelming!Also I had a taste card...More"
"1127","I have been to Alexander The Great several times and I have never been disappointed. We celebrated my Dad's birthday at the restaurant last night and had a really lovely time. We were even served complimentary dessert which had a candle on for my Dad...More"
"1128","One of the best greek-cypriot tavern in whole England:) Mr Stelios there show us a warm atmosphere and then he put us greek music and we all dance sirtaki and zorpa with him :) The food was delicious and especially the meat and the dips:)...More"
"1129","One of the best places in london.for sure would go again.great food great service great drinks and atmospheare.thanks to the boss stelios for everything."
"1130","Amazing food and great service! Feels like you're back in Greece. Genuinely lovely people, super friendly and incredible value. Mixed grill for £15 is huge and the Alexander Mezze is a must! Great place for a special occasion, with Greek style celebrations, music and fun...More"
"1131","Great little place! I have been several times and I would recommend everything! The stuffed grape vine leaves are very yummy. It is worth asking what fresh fish is on the menu as this is very good but la piece de resistance is the kotopoulo...More"
"1132","I had a meeting near by on a Friday late afternoon. I booked a table here at 6 and we were able to use our Taste Card.We were met by two very friendly waiters shown to a table and given a menu.We ordered...More"
"1133","Absolutely delicious souvlakia, big tasty portions, warm friendly service - feels like you're on a Greek island enjoying a fun and flavoursome dining experience!"
"1134","Atmosphere was great, food was delicious and there was lots of it. I waddled home happy :) thanks Alexander"
"1135","I booked a table at Alexandra last week for my birthday boyfriend. A massive thank you !!!Amazing food incredible service!Thank you once more!A must do"
"1136","What a Brilliant Place!! Efficient staff could do enough us. So much food! I walked in & Rolled out. Definitely coming back. "
"1137","Great food, friendly staff. Nice atmosphere. Great venue for our double birthday bash. Will happily visit again."
"1138","This is then second time I have visited this restaurant and tonight's meal was really nice. However I should mention the following...on leaving I visited the toilets and there was a kitchen person in  the toilet with their apron on and when they left they...More"
"1139","We visited after an exhausting day settling our two children at university and came across it by chance: friendly, warm service and excellent authentic food. All the hot and cold meze were delicious as was the lamb kebab and horta salad accompanied by Keo beer....More"
"1140","A fabulous warm welcome by Stelios the owner, the service 5* the food amazing, I'll be back very soon! Thank you"
"1141","Service is great. Recommendations from waiter very helpful and honest. Portions are generous. Seafood was fresh!! Meat cooked just right. All 9 in my party left very happy. Will have to repeat."
"1142","5***** Welcoming!! Food was incredible!!! Love love love!!♡ i can see why the reviews are so good ... plenty of food .... great atmosphere!!"
"1143","Fantastic service! Great food! Very generous portions..highly recommend! Atmosphere was great even got up for a little wiggle! "
"1144","The best  restaurant in London .. Service was unbelievable, food was fantastic .. The lamb melt in your mouth, tzaziki authentic .. Ended it with Greek dancing.. So Great!"
"1145","Just home from a beautiful meal in alexander the great. The scallops starter is incredible and the over all food is fantastic value for money. Great service and very attentive staff."
"1146","I had my 25th birthday party here with around 20 friends (gave the orders before hand so less stressful for staff!) had a great night and everyone seemed to like their meals. Got free champagne and a lovely cake (shown on photos) as there were...More"
"1147","Been to this place for the first time with my family on a Sunday for lunch, we had the meze starters and mix grill, it was so delicious wow, the food was so fresh and tasty, the service was brilliant, and the atmosphere was perfect....More"
"1148","Set in a great location - a few mins walk away from Mornington Crescent station. Visited for my friends birthday so we were placed in the downstairs private area which was a nice touch. Great food, great atmosphere. Would recommend for a night of fun!"
"1149","Very accommodating, food was generous and made my friends birthday very special- thanks for a great night!"
"1150","Really friendly staff, very decent prices, nice decor and music in the background. Food portions were excellent considering the cheap prices and the food was great tasting."
"1151","I went with my girlfriend for an special occasion and also because I had never tried greek food in a proper restaurant. The experience couldn't be better. Food was excellent and the staff very welcoming and very kind. Plates are big and very well cooked....More"
"1152","We had dinner here tonight and couldn't fault the food or service. Our waiter was super warm and friendly and it was lovely to sit outside on the terrace. The food is authentic and delicious. We paid 35 pounds for the beers, hot and cold...More"
"1153","Very good fish food and nice service!The octopus was amazing, but the prawns starter a bit small. Fresh fish!"
"1154","Just visited alexander the great in june, we had a great meal value for money definitely going back! Loved it!!! Thank you!"
"1155","Highly recomend, very nice food (huge amount for the very fair price) and awesome service. We will come back for sure !!!"
"1156","This place was a random find and was pretty good.The food was tasty, well priced and they had pretty big portions.Not the best Greek place I've been to in London but was good.Service was great too, really friendly.Would go back.Thanks"
"1157","We went here for a dinner with a friend. Very welcoming staff, good selection of food. Lamb koftico was very tender and tasty, as well as meze platter . Definitely will come back!"
"1158","Great food and amazing staff! Perfect for a meal with friends, very friendly host. Definitely one of the best options in Camden!"
"1159","I went with my wife for dinner last friday and it was amazing! The food is so tasty. The octopus is fantastic, and the fish kebab so nice.The space was a bit narrow between tables, but is wasn't a problem.The service friendly and...More"
"1160","Found this hotel after reading previous reviews. The restaurant lives up to the reviews and more. Food was fresh and delicious. The wine was good and the staff friendly and extremely efficient. An all round great eating experience."
"1161","Alexander The Great is beautifully located on the corner of a quiet street in between Camden Town and Mornington Crescent Station. The restaurant itself is delightfully decorated with Stelios, the owner who very kindly checked up on us many times, taking great pride in his...More"
"1162","Great food, great service, great atmosphere. Perfect! Only a 5 minute walk from Camden Town station, excellent value for money"
"1163","Wonderful good in great quantities! Good ambience and a great location. Had a slight mix-up with the bill, but was resolved quickly and professionally."
"1164","Amazing food, fantastic service all at a brilliant price.Authentic Greek with a smile and all in the heart of Camden.A night to remember."
"1165","Cannot rate this restaurant highly enough. Authentic, delicious Greek food just a stones throw away from Camden high street. The mezze is definitely the way to go - really tasty and great value. Will definitely be bringing my friends here!!! Thank you stelios and the...More"
"1166","Good price, big portion, delicious meal, friendly staff!!!!That's the best restaurant!!!!!!!!Highly recommend!!!!!!!"
"1167","A lovely place for lunch or dinner. Authentic greek food, very fresh and great service. Particularly liked that everything is made on a charcoal BBQ. I could eat here every night and it would be healthy and affordable! Great location just on a side road...More"
"1168","Great food at good prices and a fun atmosphere. Definitely recommend it for its authentic Cypriot Greek food and good service."
"1169","There's an endearing charm about this restaurant and these friendly bunch are not only passionate about their craft, they are masters of it."
"1170","Visited the restaurant on our weekly evening out. We had fish and kleftico and one of us had fillet steak. The food was excellent and cooked the traditional way. It was delicious and plentiful .  We enjoyed it with wonderful Greek wine and chilled Cypriot...More"
"1171","Really great restaurant with a large menu! Love the tzatziki, moussaka! Nice staff, lovely place! Will go again!"
"1172","Very good food and great people! Feels like home! Best place around camden and good atmosphere. I recommend the moussaka and mix alenxander salad"
"1173","Came here for my partner's birthday and couldn't have been happier with the choice . With a very good location (right by Camden market), it's located on a quiet street a bit distant from Camden madness , it's very romantic and proper Greek style, Greek...More"
"1174","Great food, great service, great price, perfect  for all the family , really friendly and an excellent atmosphere. Loved the calamari"
"1175","Quality of food was outstanding...full of flavour, and very friendly welcoming service. Everytime we are in North London we will be sure to visit this restaurant again!"
"1176","Spectacular food, great value for money and a real cultural Greek experience. Service is excellent and the decor of the restaurant is authentic."
"1177","Had dinner at this restaurant tonight. Ordered the mixed hot and cold mezze which consisted of tiny portions of sub standard dips, roughly cut tomatoes, and one small plate with what looked like pork mince rolled up under a slice of ham and a tiny...More"
"1178","We come every year to have a nice meze and its always a great experience. Food is delicious and plentiful and the staff is very friendly.We will come back. No doubt."
"1179","Booked a table for 6 on a Saturday evening. On arrival we were greeted warmly by the owner and shown to our table. We ordered meze as recommended. The food was exceptional and the price very reasonable. When the owner found out it was a...More"
"1180","The man that greeted our party of three wanted to send us down to the lower level which was depressingly emptying.  We insisted on being seated upstairs where we enjoyed the lively ambiance.  We ordered a variety of dishes, all of which were quite good....More"
"1181","Went in for a drink but found such a warm welcome from Yanis that we stayed for the most amazing Meze.Warning this is serious eating! Fabulous variety of starters, followed by charcuterie then calamari and prawns before the main event which was a fabulous...More"
"1182","I just moved in down the street and having seen this pretty little restaurant we had to check it out! We went there for an early dinner before work- 4pm on a Saturday. It was very good value for money as it was, but had...More"
"1183","Having eaten in many Greek establishments here and Greece then this is without doubt the authentic experience. Great food, fantastic and friendly staff who couldn't be nicer. A true hidden gem and a great find. Can't say enough good things about this place and that's...More"
"1184","The best Greek place in London. If you want to have an original Greek food, that is the place.Thanks a lot to Alexander and his staff."
"1185","Went with my family and the food was great. They served big portions and very good service. I highly recommend Alexander the Great."
"1186","Me and my family sit down have lovely dinner my kids always ask me when we go again very nice and clean place exellent very fresh food very good service nice atmosphere and very good price a restaurant that I definitely come back soon with...More"
"1187","We had an amazing time at Alexander the Great, delicious food at a fair price - but most of all, incredible service and hospitality from the staff. Not least, from Alexander himself. We had a blast and will surely come back again next time in...More"
"1188","Great experiance with family atmosphere and nice fond. The whole family from 10 to 50 enjoyed it very much."
"1189","Have been to this restaurant several times now and each experience is better than the last.The food is very fresh, tasty and so authentic I actually thought I was sitting in a small taverna in Greece!The staff are so accommodating and the owner...More"
"1190","Phenomenal food! Staff very helpful and kind. There was 13 of us and they handled us all very well! Would definitely return again! Thank you so much"
"1191","Very nice service and food,  polite staff and enjoyable experience would defiantly go again highly recommend............"
"1192","Had an absolutely fantastic time. Food was mouth watering !! Coming back very soon !! Cake for the birthday girl was beautiful."
"1193","Amazing food, brilliant experience !Service was 5* ! All very friendly.Prices are so reasonable, would go again. Recommend all to go!"
"1194","Amazing!! Great hospitality. Lovely, Greek traditional authentic food!! Service was superb, would recommend a visit :)"
"1195","Enjoying a variety of Excellent food together with a wonderful atmosphere, meze, drinks and music. Delicious meat and fish in Camden"
"1196","We came here for my nans eighteith birthday party and absolutely loved it.The welcoming by the staff on arrival was excellent ! Food was amazing with huge portions, very tasty and very fresh. The greek salad is one of the best I've tasted in...More"
"1197","Unbelievably great hospitality soon as you walk in. The food here is to die for I would defiantly come again and would recommend this restraint to everyone with there traditional Greek food is to die for. Great place for parties as well. Anyone who is...More"
"1198","My boyfriend and I stumbled across Alexander The Great by chance on a Saturday night. We were looking for a restaurant near where we were staying at, that was open at 22:00 and still serving dinner. Luckily we found this cute little place and we...More"
"1199","Booked a lunch with friends and had the most authentic Greek food experience so far while in London. The most delicious meat platter selection - huge portion which could not be finished and had to be packed to take home. Nice wine and even better...More"
"1200","Went with a group of friends. What a gem! Great food relaxed, efficient service and felt very welcome! Forgot I was in London! Going back with my partner soon!"
"1201","I visited this restuarant a couple of weeks ago with family having been here a few times previously. It never disappoints, gorgeous Greek food with a friendly, welcoming atmosphere. Very good value for money too."
"1202","Really lovely food, extremely generous portions and very reasonable. Staff very friendly and generally a nice atmosphere. Will definitely be returning soon."
"1203","Thank you so much to the staff at Alexander the Great for making my birthday so special! Attentive staff, delicious food, great company! I will definitely be back and will recommend to others :)"
"1204","Best Greek taverna in London! Fantastic mixed grill, tasty dolmades, lovely baklava, great coffee, wonderful service!"
"1205","First visit, won't be the last...why? Decent food and great service.  Ordered usual Greek food and was tasty and plentiful, but my lamb whilst hot on top was cold underneath. Waiter and others couldn't have been more helpful to recover the service, they did so...More"
"1206","This restaurant was an overall amazing experience. The staff were so friendly and informative, and the food was well prepared, delicious and plentiful. Would definitely dine here again for the lovely lamb kebab."
"1207","Alexander The Great is our top choice for Greek Food in London! Excellent ingredients, top quality Greek Food and generous portions. You have a real Greek feast there and you will leave full and satisfied:)The value for money is great that is way I...More"
"1208","A lovely family run Greek restaurant, service was excellent and the food was authentic and well portioned. I would recommend the slow cooked lamb course. Will be returning again in the near future."
"1209","The meal was really nice and so filling and good value for money. The service was excellent and I thoroughly enjoyed the evening. Really recommend Kleftico! The aubergine salad was also delicious!"
"1210","Beautiful food , amazing staff , eat here all the time , best Greek food I have tasted :) always my first choice , perfect for birthday meals"
"1211","This is the best and most friendly restaurant in London, definitely my first choice when going for dinner. Great for Lunch with friends or Dinner with the family. Never any disappointment when eating here <3"
"1212","We came here for a meal and some friends walking past liked the look of it so much that they sat and joined us. We ended up hanging out for the majority of the evening. Would thoroughly recommend this place for the hospitality and customer...More"
"1213","I work in hospitality and I can't explain the excellent service we've experienced! For starters, there were no tables available outside so we asked how long the wait would be outside, they immediately made us a new table outside so we could enjoy the gorgeous...More"
"1214","Excellent little gem, have always considered Greek cuisine to be fairly limited but no such problem here, great family atmosphere and brilliant hospitality, not to mention top notch grub. Would heartily recommend."
"1215","Such good food, had the mezze and a main. Also, I swear I've never had better baklava than at Alexander. So good, will definitely be back! And very affordable"
"1216","Great service and amazing food - great for a birthday dinner out! Really good portion sizes, and absolutely fantastic baklava."
"1217","Food was perfect and a last minute mention that it was my birthday resulted in immediate after dinner treats. The staff are wonderful, and we met the manager who also deserves a vast amount of praise - if you can come here you're in for...More"
"1218","Great food and good atmosphere and hot waiters . I had a delicious and very filling meal for good value. Stayed til close."
"1219","Very nice food and very nice and friendly staff very cozy perfect for friends or romantic dinner recommended to eveyone"
"1220","Great service and the food is one of the most complete in London . The menu is ample in Greek food. Definitely recommended !"
"1221","We came for a large birthday party and had a great time. The food was great and reasonably priced and the service was good for such a large party. Staff went above and beyond to help celebrate the occasion by giving a birthday gift and...More"
"1222","Celebrated friend's birthday and it was supperb. Authentic cuisine- huge portions, with a home like atmosphere. Amiable and attentive staff who will involve  its guest with traditional music, also will occasionally sing and dance a bit. Surprised our group with an amazing cake. Great time...More"
"1223","We were a group of ten, looking for a place to celebrate our friend's birthday. We  didn't book but they put together few tables for us straight away. The room were we dined was lovely, with a characteristic Mediterranean style and Greek music. We opted...More"
"1224","We visited today and received the best service experienced for a long time! Excellent staff, delicious food and it felt like we were on holiday! Happy times! Thank you!"
"1225","I had pre booked my table for two however when I arrived the waiter looked shocked to see me.  They were very busy with a few large parties eating on this day. The waiter took us downstairs and cleared a table. We were the only...More"
"1226","i love this place is very good and the stuff is great i would suggest this place To All they are very friendly and the plates are wonderfull and very taste"
"1227","A group of 4 of us had a dinner here tonight. Walking around Camden Town we were looking for a nice place to eat. We decided to eat here after reading this all positive reviews on the tripadvisor. I wasn't impressed at all! Food presentation...More"
"1228","An amazing restaurant with a perfect service of quality. The food was really yummy, the place is really cosyAlexandro, the owner of the restaurant, is the nicest man that I have ever seen ! Come with your family, friends, totally worth it !!!!"
"1229","Very friendly and polite staff, lovely relaxed atmosphere. The food was of very good quality and the portions were huge ( you will not leave this place hungry ) Will definitely be going back."
"1230","From two years is my favourite restaurant in London. Food and environment are really nice. Staff great. Always really busy and sparkling atmosphere. I love it"
"1231","Been here with friends. Unexpected WONDERFUL evening! Spectacular menus, tasty beer and great music! Staff is very welcoming and the atmosphere very very friendly. Highly recommended!!!"
"1232","Amazing food for good quality of money. Great customer service and hospitality. Will definitely be coming back and would recommend for others. Thanks for a great evening! "
"1233","Wonderful authentic greek food serve in a friendly atmosphere . Perfect service,very helpful waiter.recommend this place"
"1234","Food was really great! Friendly atmosphere! Will definitely go back! Went with my boyfriend and his brother who are cypriot, and they said the food was authentic and also really enjoyed it."
"1235","Very authentic, good value, great atmosphere and friendly service. We were quite a large group and every left with smiles! Definitely returning."
"1236","Went here for a friend's birthday where the food and the service was exemplary! The lamb joint was so succulent and the atmosphere was upbeat. A great night out for a reasonable price  will be back!"
"1237","Great night out for my friends birthday. We were a big group and they accommodated for everything and were incredibly friendly. Oh and of course yummy food!"
"1238","It was really nice. The food was really tasty. We try kleftiko and souvla it was the best food we ever had in 5 years. We loved this place and atmosphere very good . The service was really good ...very friendly staff .looks like 7...More"
"1239","My family and I went for greek easter Sunday and sadly it did not live up to the reviews. More importantly, the typical meze was not served. Meze in a traditional greek Cypriot restaurant has around 4/5 courses. On this occasion we were only served...More"
"1240","We went yesterday for Greek easter. Great souvla and loads of dips and pita! To top it all off the waiters were Cypriot. Great service, the guys were so funny and nice :-)"
"1241","The lamb souvla was very tough. Anorexic sized portions and overly priced. Staff were miserable. As a Greek Cypriot this is the worst Greek restaurant I have ever been to.. And I am a proper foodie."
"1242","Absolutely fabulous amazing gorgeous wonderful food and the service was only perfect. 10/10 100/100 x"
"1243","Had a great night out here. Great food. Great staff!! Great beers! Recommend the loukanika and the lounza!! Fantastic!!"
"1244","Nice cosy space and staff is friendly and professional. Great food and proportions are massive. Brilliant limoncello. "
"1245","Been here a few times with the family!It's amazing! Amazing food and amazing staff!! Well worth the money!! 5**********"
"1246","Food is amazing. The special spices makes it unique. Very friendly staff. Feels like a little escape from the busy city- definitely a must do!!!"
"1247","Attended the venue with 2 friends we had the meze was amazing. Everything was fresh. I have visited many Greek restaurants this ranks as my favourite. Always welcomed warmly and looked after as you were at home.  Nothing you ask for is too much. Can't...More"
"1248","When I come to London I always find myself eating in Alexander The Great. The food is the fresh, and simply delicious. I run out of good things to say about this place. I just love it! I brought 2 friends who have never been...More"
