"","documents"
"5801","Food was excellent. And service was  very good.  Staff were very friendly  and helpful. Would  go again."
"5802","Absolutley perfect couldnt of asked for a better experience, the service was brilliant, everyone who works there are so friendly and welcoming, the food is on another level, 100% will be returning soon."
"5803","We visited as were given a 3 course Sunday Roast voucher as a gift. Overall we had a fantastic time & would definitely recommend.The restaurant was busy when we arrived (3pm) but we were seated promptly and the staff were very friendly.I was...More"
"5804","My husband and I were given this as part of a Christmas present from our son.  It is a very nice restaurant and the food was really good and so were the staff"
"5805","This was the first time at the London Steakhouse to celebrate my daughter's birthday. The dining area was dimly lit. The starter a muffin with a poached egg on top however the bottom of the starter was burnt. The main course we asked for our...More"
"5806","Another amazing trip to our favourite restaurant in London for Valentines Day. The food, service and hospitality was incredible as always and the fantastic staff welcomed us like family. Roll on our next visit in March...."
"5807","I was given a voucher for this restaurant as a birthday present. I upgraded the offer to the VIP experience which was well worth it.On arrival we were greeted and shown to our table which was in a quieter area than the main restaurant...More"
"5808","Nice meal, need to top up the offer to get a decent cut of meat and sides (chips) are extra. Service was to a high standard. Wine list was a little daunting and not much choice at the lower end of the scale."
"5809","Lovey restaurant but my meal was cold twice.  This was fixed and my husband benefited from having two main courses , 1st while I waited for my cold fish cake to be re-heated  and he was offered a second meal, so we could eat at...More"
"5810","Me and my partner went here on a trip to London, during valentines week. We got the £65 deal which includes starter, main, dessert, side and cocktail EACH. The food was amazing. The staff professional and friendly. My other half said it was the best...More"
"5811","Service was excellent, food was very good but toilets could have used updating. Would recommend as a restaurant to eat in, we went at 1pm and it wasn't too busy"
"5812","Lovely fresh tasting food with loads of flavour, staff very friendly and made to feel very comfortable Also the best tomato sauce I have ever eaten ( think I’ve brought about 15 bottles so far ) can’t wait for next visit"
"5813","Unfortunately there was couple really loud in their conversations that distracted us from a quiet time with each other. We didn't receive any complimentary popcorn snack which seemed was provided to most customers that came in after us.  There was no smooth transition from entry...More"
"5814","Probably wouldn't go back, didn't have a soup as there wasn't enough choice but still paid for it. Was expecting the beef to be more stew like but it wasn't at all. Tables really close by. Not romantic at all. Waited ages for our main."
"5815","We wanted to visit this place for some time so took the plunge! It is owned by Marco Pierre White and another so how could it fail?!we went for lunch (after visiting the nearby Skygarden, UKs highest garden) and were courteously and politely greeted and...More"
"5816","Service and atmosphere were good. Had the £55 experience and ordered the steak but was shocked to find out that it was literally just the steak. A spoon full of mash was an extra £5 and a side order of veg was another £5 making...More"
"5817","Went there with a Virgin Experience Days voucher, the food was AMAZING, the service was great. Would love to go there again"
"5818","This is our fourth time to this restaurant and the second time using the VIP voucher.  We find the voucher great value and you don't need to spend anything else, however, there is plenty of choice if you feel the need to.  The staff we...More"
"5819","This is the fourth time at this restaurant and second time using the VIP Experience.  We've always found the staff to be friendly and think it's excellent value for money.  There's nothing else that you need to buy but there are certainly plenty of options,...More"
"5820","We booked our visit to celebrate our anniversary and it was perfect in every way! Amazing food, amazing service which made it an amazing day!"
"5821","My partner and I choose the crab starter there were only two other people in the restaurant the waitress said sorry out of crab try the Soused mackerel, I did not good. We ordered the special Château Br Steak (extra cost) staff plonked it in...More"
"5822","We had a deal so had a set menu, the food was good, but I've had better rump steaks. The staff were very friendly and quick to top up drinks, but we had to wait a long time for our mains which was a bit...More"
"5823","having been involved in monsoon bucket work with helicopter's., no one can afford to get laid back. It is a big job. good luck to all you fire fighters."
"5824","We had a very enjoyable evening, good selection of steaks to choose from and was cooked to perfection staff are very polite and helpful would certainly recommend the restaurant."
"5825","Absolutely fantastic food, amazing staff, extremely polite and very attentive. One of the best meals I have ever had, Stark was to die for."
"5826","First visit to this restaurant using a voucher I got for my 21st birthday. Staff were very welcoming and lovely, had the mackerel starter and steak main course and it was absolutely beautiful. Also got given 2 desserts on the house which was such a...More"
"5827","Great food and fantastic service from all the staff.  Lovely atmosphere, music just right and not too loud.  The food was cooked perfectly."
"5828","We had a voucher for a 3 course meal with a welcome cocktail. Everything other than the basics were at extra cost. The meal was mediocre and home cooking would have produced better. Crab starter was not up to much. My husband enjoyed his steak....More"
"5829","We had a meal at London steak house 10th Feb. Could not fault it. The food was fantastic. And the staff were friendly and polite. They were very welcoming. The restaurant itself was very clean and tidy."
"5830","We had a lovely meal, using a gift voucher from my birthday - it worked well on a Sunday as the roast was included (otherwise would have had to pay to add side dishes). Only disappointment was that the wine we chose from the wine...More"
"5831","From the minute that we arrived to the minute we left, the ambience, food & service were superb! Nothing was too much trouble & as as celebrating a birthday the attention to detail was great! Would highly recommend & would definitely visit again soon!"
"5832","Enjoyed our lunch immensely. Service was very attentive. Food tasty and the wines went down rather well."
"5833","The meal was ruined before we was even sat at our table. Our table was booked for 9.15, we got there at 9.10 and was told our table would be ready in 5/10 minutes. So, we stood at the bar amongst the other 20 people...More"
"5834","Excellent food, excellent service. Restaurant has lovely ambience, decor, would highly recommend a visit and also add the VIP Experience Package."
"5835","Nice ambience, pleasant staff, pub standard food at four star prices. Set menu serves steak with no sides, each side £5.50 each. Chose broccoli, fries and onion rings between us. Chips like a Macdonalds fries, approx six florets of broccoli, onion rings very nice. Steak...More"
"5836","Amazing food. Waiting staff very attentive. great experience. really nice atmosphere in the resturant. thank you."
"5837","HORRIBLE !! If you were born with a plastic spoon avoid at all cost. Anyone with a Virgin Experience voucher is obviously treated like a peasant.Arrived 10 minutes late and our table was already given to other customers, we were told to wait at the...More"
"5838","I am in agreement with many of the other recent average to low reviews. Over priced and underwhelming food. Decor and toilets tired and outdated. Matre D stressed out, lots of people looking bored a fed up at the bar."
"5839","We arrived at restaurant and greeted with a smile by the host who made us feel very welcome. The service was exceptional and the food was excellent, we had a wonderful experience and would definitely return ."
"5840","My experience at City restaurant is excellent and just love everyone there. I call them family. They will offer you a five star experience and I have never been disappointed!In a special way, thank you for even making my Birthday memorable.You are the best!"
"5841","The combination of an offer in the Daily Mail and an appointment at St Thomas' Hospital for me brought us to the London Steakhouse. we would not normally choose steak from the menu as few restaurants know how to cook it well. However, you are...More"
"5842","Would not recommend at all the steak was chewy there are lots better steak houses out there that are a lot less over priced me and my other half both had extremely bad tummy straight after the food in here the staff were ok just...More"
"5843","This offer is for a three course meal and cocktail for two people at the London Steakhouse. We had the goats cheese & beetroot salad and chicken liver parfait for starters both were delicious. We both chose the beef bourgongion with creamy mash for our...More"
"5844","Food was ok, but not special. Service was poor, and head waiter rude. One of our side dishes never arrived and we had to ask twice for sauces. Arranged on set menu, but there was reluctance to let us have it."
"5845","Purchased luxury dining experience for 2. Great offer as includes practically everything unlesd you order extras but if not coulf mean nothing to pay on thr dsy. Good quality foof. Steak cooked to perfection. Staff very attentive"
"5846","Had a 51% off a three-course meal at London Steakhouse Co experience voucher and was looking forward to trying the restaurant.  We had to pay extra for everything, a basic Ribeye steak was £14.00 extra.Ended up paying £55.00 for the 1/2 price voucher and another...More"
"5847","We were given a buyagift experience at the restaurant as a wedding gift, 3 courses and a cocktail.The cocktails were poor- we both had a different one but they were weak. The pate stater was very low quality and no bread to eat it with....More"
"5848","Great food and great service in a lovely restaurant. The soft music in the background was at the perfect level too and did not get in the way of our conversation."
"5849","Had a wonderful meal from the set menu, really was a lovely evening. All the staff were very helpful the food was delicious and the setting was beautiful."
"5850","If you are a lover of a great and excellent steak, here is the right adress; service is friendly; the ambiance is great; to recommend."
"5851","Used red letter day voucherWhole process is to try and up sell extras.Steak was good but doesn’t include any sides so saw plenty of people each a plate of meet on its own!It would be better to charge more and sell a complete dinner"
"5852","Arrived early for 6.30 booking..... no problem.. greeted by efficient friendly staff. Great busy atmosphere. Food was excellent and our waitress was exemplary!! Would definitely go again."
"5853","The food is awesome. The service is excellent. I like the steak I ordered. Recommend to go either with friends or family. Nice place."
"5854","We went to London Steakhouse Co for my husband's birthday and the staff were very welcoming and assisted with making sure he enjoyed his birthday. The food was fantastic - we had a three course meal and cocktails. I recommend this restaurant to everyone."
"5855","The food was well presented, well cooked and absolutely delicious! The staff were attentive but not intrusive, friendly but not too personal - in short very professional. We were allowed plenty of time between courses and did not at any point feel hurried. Overall it...More"
"5856","So for Christmas, my partner and I were given a voucher to come to this restaurant. We got ourselves nice and dressed up and planned to make a night of it. We got there and the gentleman at the front of house didn’t even say...More"
"5857","I bought a virgin experience gift for a three course meal and a cocktail here, for an anniversary present. To dine with the set menu at the weekend, you can only book 48 hours before, which by then, the tables are all full. For a...More"
"5858","Went to this restaurant as part of a virgin experience day. Restaurant was quiet as it was a Monday. I had to pay a supplement for the steak. Shock was unaware of when I booked it. The service was good and the steak was delicious...More"
"5859","The food here is really delicious and we enjoyed that part of the meal however the service was really terrible.We were running a little late so called ahead to let them know but when we got there we realised it didn't matter as out table...More"
"5860","Great ambience in the restaurant, fantastic attentive service, delicious 3 course meal - lots of menu choices, fabulous cocktails and great wine list! We spent a good 3 hours in the restaurant and were not hassled or rushed in any way. Thank you for a...More"
"5861","Extremely busy, a little cramped but that didn't detract from the food which was something else. However seasonal vegetables, note that is plural, meant six florets of broccoli £5.00 . As a country bumpkin this felt a bit rich. But very well worth a visit."
"5862","My husband and I visited the restaurant last weekend as part of a gift experience. The atmosphere was casual elegance,  the food was superb, and the service just right, attentive but not intrusive. We are already planning our next visit!!"
"5863","My wife and I visited Bishops Gate, city restaurant on Saturday lunchtime and had a lovely time. It was a thank you gift with an 'experience' voucher. My wife had the 8oz steak and I had the Beef Wellington. Both meals were exceptional along with...More"
"5864","Fantastic food exceptional service would highly recommend to anyone, i will definately go back again"
"5865","I'm sure the meal was fine but unfortunately we had to give our voucher booked through red letter days ( actually a gift fro children ) to a friend who live in London . We had planned to come up from the country but when...More"
"5866","We were gifted an exerience here and have to say we loved everything.charming staff.great ambience..great music fabulous food..we will be back"
"5867","Lovely food and good service. We weren't rushed and enjoyed delicious food. One of our party was a vegetarian and the mushroom risotto was delicious!"
"5868","We had a gift brought for us for the three course meal for two, however when you arrive if you order the pate starter it comes with no bread, if you order the 8oz steak main it literally comes with the steak on the plate,...More"
"5869","Travelled to London for a wonderful gift from friends. Everyone at the London Steakhouse made our experience a great one. We got lost from the underground I rang and the staff member was so supportive she guided me on the phone to the location. The...More"
"5870","This was our second visit. This time we went for dinner instead of lunch. Was a great meal, great service by a very polite and friendly waitress who was just the right sort of attentive. We will be back again soon."
"5871","My boyfriend and I came here on a Saturday evening, when we arrived we waited around 5 minutes to be seated at our reserved table. First impressions were really good, the staff were smart and friendly and the decor was beautiful! We had a voucher...More"
"5872","Great food choice and service in pleasant surroundings our third visit to the restaurant with family."
"5873","Starter was excellent.Steak was chewy to the point you couldn't eat it. Lovely desert.Our waiter seemed like he didn't want to be there and came across a bit rude."
"5874","Great meal - very tasty and well prepared.Great hosts and the wine was superb too - I would certainly recommend"
"5875","Visited with my husband this weekend and we had a lovely time. The food was amazing and our waiter went the extra mile to ensure we had everything we needed (pregnancy craving of mushrooms was well catered for!) - will definitely return"
"5876","The service was excellent and the food even better.  I would strongly recommend a visit.  We had the Sunday roast which was delicious."
"5877","We went to the restaurant as we had been given a voucher for a 3-course meal + cocktails.  The cocktails were lovely.  The starter was average: we both chose the goat's cheese and beetroot salad, which was lots of thinly-sliced beetroot, a few bits of...More"
"5878","We had a lunch for one of our colleagues and we needed to split the bill and pay for drinks separately.  All of our requests were handled without any issues. The customer service and waitstaff were terrific and there was no problem with the complicated...More"
"5879","The service was shocking - out of 4 people that have served us thought the night, one young chap was lovely and the remaining 3 people were rude to us and fellow diners. The food was equally disappointing - the only thing we enjoyed was...More"
"5880","The restaurant has a nice ambience, the staff and very polite and helpful and the food was very good. We had booked through a Virgin Experience and the choices on offer were very nice."
"5881","It was a double celebration, booked via Virgin Experience. My wife's birthday and the welcome news that my daughter was expecting our first grandchild.Anyway ... first impressions were disappointing, not that curb appeal should have a huge impact on the occasion. Inside was slightly...More"
"5882","Bought a deal off last minute.com. When I arrived at the restaurant they had the same food experience available for non reserved parties, so I was a little confused but enjoyed the experience non the less. I think we may have got cocktails included with...More"
"5883","No atmosphere and cold in restaurant. Only book a time when no one in there.Lots o hard sell on extras which we would have had had there been an atmosphere.Beef tough and service so quick we were done in 40 mins no time to digest....More"
"5884","Great food with friendly and helpful staff. Restaurant was clean and tidy and had a relaxed environment."
"5885","Received this Experience from our daughters as a Christmas present. Decided to go the full VIP experience by paying the extra £55 for a wine up to £35 and side dishes plus coffee. Cocktail starters were very nice, as were the starters and the steak,...More"
"5886","Part of special deal. Lovely setting. Free cocktail very small - mostly ice. I payed £5 extra to have champagne instead and was much better. Starters excellent. Mains had to pay extra for sides which I think is scandalous! The beef bourguignon was very good,...More"
"5887","A 2 course lunch and cocktail was a present for my wife,s birthday. Very nice surroundings pleasant staff, lovely waitress who also made the cocktail. Disappointing and overpriced main course let it downWe will not be returning!"
"5888","My son’s treat for my birthday!Lovely ambience and attentive staff.Food excellent and reasonably priced.Well worth a visit when in town."
"5889","Our visit was part of the virgin experience the food was amazing, & desserts are good The service at table was very good & girl that looked after us was very friendly  made us feel welcome and she very attentive."
"5890","Amazing food, staff very attentive, and the place was laid out very well. I would recommend this place, especially if you are looking for the perfect steak of your choice."
"5891","The staff were friendly and welcoming. Our meals were lovely, really recommend the steak. Will definitely come back."
"5892","We had expected a fantastic gastronomic experience and it is against that expectation that it fell short. The starters were good.  For mains 2 of us had steak, which were good. 2 of the meals had to be sent back as not hot enough. The...More"
"5893","Very tasty steak, great service with friendly staff. The restaurant was immaculate with a good atmosphere."
"5894","Great atmosphere and service.  My only criticism is when I asked to swap a pud (£8) on the set menu for a drink (£7), I was told it wasn't possible."
"5895","It was cramped. The crab thing was too runny. The duck was over cooked and the plate was swimming in oil.   Too much ice in the cocktail. Water was warm.  Extras were well overpriced.   Only thing to delight was the chocolate and chestnut truffle desert!!"
"5896","Starter was amazing. Ordered main was not informed on ordering what I did that it came rare. I only eat my meat well done. Although they offered to do me something else this was when my partner was just about to finish and wasn't prepared...More"
"5897","We dined here on a virgin experience voucher. Voucher entitled us to a 3 course meal for 2 people with a cocktail on arrival. We ordered some extra bits to go with what we were entitled too and it was all fabulous. Would thoroughly recommend...More"
"5898","We used the groupon deal. Was a lovely meal and staff were very attentive! Would definitely recommend to couples as the restaurant has a romantic feel to it. I can’t wait to go back, best steak I’ve had in ages!"
"5899","How you can enter a restaurant with a prepaid voucher for a 3 course meal, and still end up paying nearly £100 for sub standard burnt food, is beyond me. Food awful, burnt and took an age to reach us. we entered the restaurant at...More"
"5900","This was a gift from my son for Christmas,what a brilliant idea. He has recently moved out into his own home and this was a thank you for my helping him with the move. Thanks Son !"
"5901","Slightly odd back-street location so a little difficult to find initially. Good welcome and fun drinks at the bar. Great menu and all the food was good - We went for the 4 course lunch plus some sides (chips & onion rings - latter are...More"
"5902","Food was fantastic , service was brilliant , I can’t remember the last time I had such a nice experience in a restaurant."
"5903","Easy to find, warm welcome, staff were excellent but  for me honestly the food was not good enough. Cost was £160 which included a very average bottle of wine and two cocktails (nice), so that is reduced to say £100 for two people. Food was...More"
"5904","Went with my daughter who works close by. Very easy going and good food and wine. Service great never rushed even when busy"
"5905","it was my birthday ,so my wife ,took me to your place ,,, 100 per will be back to try  different food ... the staff were very good ,,, and services with a smile"
"5906","Great food, excellent staff, great cocktails, great wine, great music playing, we had a great night! Whay more can I say?"
"5907","This was an anniversary present from our sons. Having booked a date we went online and discovered if we upgrade to vip it includes so much more the full works including a waiver of the additional charge we would have had to pay.Good service great...More"
"5908","Tables for 16 on a Saturday evening.Excellent reception on arrival.Well attended at the bar for pre dinner drinksTable service excellent and attentive For choic e very good and quality excellent.Booked again."
"5909","Celebrated my birthday there. Food was great. Service was really good and staff overall were very professional with the exception of one who hadn’t served us all evening only to just clear our table without even speaking to us or asking if we were done!...More"
"5910","No complaints about the food, most of the service was great and very quick. However, the man who welcomed us in was not at all friendly. We came here as a package gift from virgin media. The package deal is slightly sneaky as it seems...More"
"5911","Very pleasant lunch from set menu. Attentive service, well cooked steak, good wine, elegant surroundings. Sides rather expensive."
"5912","The restaurant looked very classy inside, very friendly and helpful staff throughout our visit. The only complaint was that we had to wait an hour before our main arrived, which was incredibly frustrating as we had already had the booking time changed to a later...More"
"5913","My boyfriend purchased the experience days set menu for my birthday, so we were unsure what to expect. But the food and service were both amazing! Couldn’t fault it, in fact we even brought a family member a voucher so they could also experience this."
"5914","Charge extra if you want chips with the steak. Been to better restaurants where you actually get sides with the meal. Waited ages for drinks and it wasn't even busy. Would not want to go when they had a full house."
"5915","After reading many negative reviews about using vouchers and how people was treated... I/we was blown away with how we was treated, Excellent customer service even with a voucher, we knew we had to order sides so wasn't a shock to us, apart from prices...More"
"5916","we arrived at the shard for a view and meal at marco pierre whites restauant to be told there was no such restaurant and we had to get another cab to take us to the New York marco pierre restaurant. When the driver dropped us...More"
"5917","My Partner and I, Waiting for an 1 Hr For a Main Course, which was obviously forgotten about. When received My Partners duck was dry and over salted. The atmosphere poor and odd. The whole dining experience just generally weak, for what is expected to...More"
"5918","Excellent lunch and staff very professional but friendly , good value esp if you get a voucher. Nice and relaxed didn’t rush you."
"5919","Excellent customer service. Waitress was super-very attentive and knowledgeable.Food was lovely. The chips, we weren’t overly impressed with, but everything else was fantastic."
"5920","Excellent meal, very friendly and helpfull staff as I had my 16 month old daughter with me.  Would recommend to anyone."
"5921","We felt very welcomed and the food was really lovely. They were very accommodating for my partners dietary requirements"
"5922","All well until puddings. Peacan pie microwaved to within an inch of it's life. Would have expected more."
"5923","Got a deal on wowcher for my boyfriend for Christmas, I Firstly  told them of my nut allergy and asked them to take them off the starter I ordered. They came out with the nuts on them! I complained and they finally got rid of...More"
"5924","Wow absolutely amazing ,great food fantastic service and a first time experience that my wife and I will never forget .Just can’t wait to return thankyou again"
"5925","Excellent service from arrival to leaving with absolutely high quality of food . The ambiance of the restaurant was superb."
"5926","I got brought a voucher for the this restaurant for my birthday and i was really excited.  I live in the south so i was really hoping that it wouldn't disappoint... and it didn't.We arrived a few minutes late but the staff were fine and...More"
"5927","This was a Red letter gift from children. Food and service is very good. However at end was charge £4 for the tap water what was poured for us from an open bottle at beginning of meal.It ilegal for a license premises to charge...More"
"5928","We had the 3 course special menu including a cocktail which was great value. The steak was cooked perfectly and  the desserts were delicious! Only thing was no side dishes included in the price. All in all fabulous!"
"5929","Have been to this restaurant several times over the past 3-4 years and we are never disappointed. The food here is always cooked well and with a good variety of dishes to choose from even on their set menu options. Staff are friendly and knowledgeable...More"
"5930","this was gift from Virgin experience vouchers. You still end up paying something towards the meal as the sides are not included in the meal deal. No tap water either only bottled water.We thought the maitre di could have been better groomed and it was...More"
"5931","Was given a voucher for this visit including ride on Thames.Excellent foodExcellent serviceSay no more"
"5932","We had a lovely meal, served by friendly waiting staff. Food was beautifully cooked and presented - a thoroughly lovely evening"
"5933","I bought a virgin media voucher to have a three course meal for two with a cocktail each and entry to the shard. BE WARNED, ignore their suggestion you have their three course Xmas menu as they'll charge you for the second three course meal...More"
"5934","Staff attentive, lovely decor, started with a cocktail & popcorn - great combination.  Would recommend the poached egg and crab starter, followed by a fabulous fillet steak.,"
"5935","Absolutely amazing. Wonderful food and service all in a great atmosphere. Highly recommend and hope to Dine here again soon "
"5936","Attended on 14/12/18. The meal was delicious and the staff was very professional and friendly. It was our anniversary and they made it special with sparklers and champagne"
"5937","We got a gift voucher to visit this restaurant from our friends. All staff were professional and our water was really lovely. His hand was injured but still was working and we had great chats with him. I had two issues. The door was constantly...More"
"5938","8 colleagues enjoyed a lunch. Fillet steak was absolutely beautiful - melt in the mouth - and sides were lovely too. Arrived at 1pm and didn't have drinks order taken for over 30 minutes, and mains arrived at 2:30 so that was a bit of...More"
"5939","Great experience - very good food and the staff were very friendly, professional, and helpful. Would recommend."
"5940","Everything was great until the food arrived. The steak was cooked wrong. One side felt Rear while the other end was medium well.The steak had no flavour, the sides were extremely small and overpriced."
"5941","Top quality customer service experience from entrance to exit. Not to mention, the food was on point and I cannot see it being any better."
"5942","My wife & I went on a Saturday night when there was a very loud large company Christmas do right by our table which which spoilt the experience a little. The food however was excellent, although you have to order any sides you want with...More"
"5943","A very pleasant experience, although we were on a prepaid voucher we were treated just the same as other customers. The meal was very moreish, the sticky toffee pudding was out of this world, all of the staff were 100%, I will be going again...More"
"5944","We had dinner to celebrate my husbands birthday, staff were very helpful and friendly, atmosphere was perfect and the food was delicious. We will definitely being visiting again."
"5945","Excellent Service, friendly and polite, lovely food and a lovely place to be. All members os staff were very helpful, we had a great time."
"5946","I’ve attended here every Christmas for the last 3 years, their Black Friday 50% off deal vouchers has become a bit of a tradition for me and my 3 friends. We always have a great meal with fantastic service and this year was no exception....More"
"5947","The restaurant is lovely and staff were very polite and professional. They made us feel welcomed and made the experience every bit we Imagined it to be. Food was excellent, and the perfect portion size"
"5948","There was a nice friendly welcome on arrival at the restaurant.The staff are all friendly and helpful.The food was good and there was a nice atmosphere at the restaurant overall."
"5949","They had a very good 3 course deal and the quality of the food was good but it took the restaurant 45 minutes between courses so we almost lost our appetite for the amount that we waited for."
"5950","Let me explain - the easy bit is that the food and service was all excellent. My concern is about the slightly mis-leading way the deal with Virgin Experiences works. We were lucky to be given a '3 course meal for 2 inc cocktail' voucher...More"
"5951","excellent service, were able to accommodate a late booking, my daughter bought me the meal as a birthday present"
"5952","We had vouchers bought as a gift and we thoroughly enjoyed the food, the service and the atmosphere.  My husband and brother particularly liked the jokes being broadcast in the gents!"
"5953","A warm welcome, a lovely meal & great service.  We enjoyed our Golden Wedding celebration immensely.  We will book to come again."
"5954","Good food - good value considering location - wine could have been cheaper with a wider range at that lower range level."
"5955","We visited as a part of a  Red Letter voucher experience. A delightful steakhouse with highly professional staff on hand to ensure that everything runs smoothly. Cocktails to start followed by a first class meal. Crab for starters followed by a delicious Rump steak. Highly...More"
"5956","My husband booked in a set menu 3 course dinner here as part of the Virgin + Shard deal for my birthday. I didn't have hugely high expectations of the meal in advance (pre-Christmas+city), but even those were dashed by the food and service on...More"
"5957","This was a lovely anniversary lunch, with excellent service, lovely food and friendly, helpful staff. I would definitely recommend it."
"5958","Took a friend for a belated birthday celebration meal. The staff were friendly and attentive. The food was great and the present at the end was a nice touch. Will definitely be back"
"5959","Had a lovely time at this restaurant staff were delightful and attentive had a lovely time there thoroughly recommend it would definitely love to go again"
"5960","Met some friends for dinner and had a great time.  I enjoyed the pea and mint soup and the beef wellington was ok, but really not well presented, looked like a square of puff pastry plopped on the top. With the sides and a good...More"
"5961","Visited with a friend for lunch and had the 3 course meal deal with half a bottle of sangria.  Starter of crab crumpet was very bland, steak weren't that great, bit on the chewing side and my friend couldn't eat hers.  We should have complained...More"
"5962","We went to the restaurant as part of the Virgin experience days voucher along with 'The View from the Shard'. Wasn't blown away by the dining experience, but also wasn't disappointed either. The crab on crumpet with an egg on top was a nice starter,...More"
"5963","We were given this as a present from our nephew and his then fiance, now his lovely wife. We saved it until the last minute, it was wonderful. Train into London, then hoping to get a black cab to the restaurant! Huh, didn’t bargain on...More"
"5964","Come here quiet often, great deals to be had. Never been dissapointed, always feel pampered after an evening here."
"5965","Everything from the food to the staff were excellent.  We had a gift voucher that we upgraded to the restaurant’s VIP offer on booking and it is a good deal with lots of choices included.  Never for a second did we feel inferior to their...More"
"5966","Had a wonderful Sunday lunch at The London Steakhouse. The food was glorious-everything beautifully cooked  and presented by helpful but unobtrusive staff. Lovely ambience, wonderful food and great service-go there now!Highlights for us were the beetroot and goats cheese and the chicken parfait and...More"
"5967","I was visiting the U.K. for a few days. My son's friend Colton, is a chef at the restaurant and wanted to patronize and support Colton in his quest to become a great chef. We were early for our reservation and they were able to...More"
"5968","Booked as a group of 8. Food was delicious. Service first class. Will definitely book again in the new year."
"5969","Lovely restaurant, easy location!As I mentioned it was my dads birthday they put a special message on dessert for him which was a nice touch. Would recommend."
"5970","Very good. Friendly, attentive service, fast delivery. Recommendable for couples, family or business."
"5971","Great atmosphere and service. Food was delicious. The experience was excellent from the time of arrival to the time we left.Would recommend the £50 add on if doing a Promotional meal deal."
"5972","Being regular visitors to Steak Restaurants in London we thought we would give London Steakhouse Co. a try as an alternative using a voucher we had been given. Decor and service good but welcome cocktail very weak. Upgraded steaks, especially wife's Ribeye,  poor and nothing...More"
"5973","We did not know what to expect, we arrived a little early but the staff fitted us in. The experience was fantastic, food was great and the waiting staff explained gluten free options to my wife. The only minor criticism would be, my fries/chips weren’t...More"
"5974","From entering the staff were excellent with the service. We both enjoyed the cocktail that we could choose. The starter was delicious and I could of eaten more it was so tasty. My husband had steak and I had beef bourginon and we both said...More"
"5975","uits at over 8 pounds. a bottle of water was4 pounds .enough saidi would strongly advise against spending your money at this restaurant. the sevice was fine."
"5976","Food was deliciouslocation is ideal in the middle of Liverpool Street or Aldgate Service and attention superb"
"5977","We were given a Red Letter voucher for a two course meal at this steakhouse. However we were disappointed to find that the one choice of steak available on the voucher menu was a piece of meat only. There was no salad, vegetables, potatoes, chips...More"
"5978","The best steak I have ever eaten. I am over 50 years old. Service is class and the wine is very a reasonable price. We will be back."
"5979","Great customer service and the wait staff were brilliant! However, the steak was grizzly and the chips weren't the best. The sticky Toffee pudding was amazing."
"5980","Revisited this restaurant whilst in London this week with my family.  All thoroughly enjoyed the ambience, service and food.  Highly recommended."
"5981","We visited the restaurant for a couples night out. The staff and service was exceptional. The food was excellent as you imagine from a great chefs restaurant!"
"5982","Part of a virgin experience, visit to the Shard and then for meal. Great food and  staff and comedian"
"5983","We visited this restaurant as part of the virgin Experience Days for my husbands 40th birthday, we were not disappointed. Excellent service a good choice on the menu and fabulous food. Would recommend to anyone. Would definitely visit again. 10/10"
"5984","This used to be my favourite restaurant but after last weekend I won't be back.  We had to wait well beyond our booking time to be seated which resulted in rushing at the end to catch our train. Staff were not attentive as previously. On...More"
"5985","Hubby and I visited this restaurant after a day out in London.  We work and know London very well but having said that and having also worked just around the corner from this restaurant we found it after a reasonable amount of searching.  If you...More"
"5986","My wife and I went to the London steak house the city, it was a 50th birthday present from my kids, the restaurant and the staff was very good, the food was top class and the atmosphere was relaxing, very body did there job well,...More"
"5987","Our meal was amazing the staff were so welcoming and helpful. We shall be back as soon as possible!!"
"5988","Great service, very good choice of food, nice ambiente! Would recommend the Steakhouse Company to all kind of visitors!"
"5989","We visited using our red letter day voucher and were a little bit worried based on other reviews but we had a great experience! I have many allergies and the waitress was more than happy to swap out dishes and ingredients, event my welcome cocktail!...More"
"5990","The service was bad, however our waiter was amazing he tried his best. Our orders were messed up, food arrived at different times and everything was short or something was missing, and on top that we had to fork up a big bill for poor...More"
"5991","Never had such great food before. Service and food was outstanding. Would highly recommend, and will defintley be back."
"5992","The food was delicious. The stake we’ve tried was by far the best. The staff were nice and acted like professionals"
"5993","Lovely celebratory meal in pleasant surroundings. Staff very friendly and efficient. Food nicely presented and steak cooked to perfection"
"5994","We wil go there. Fantastic athmosphere, good food, good drinks, nice people working wokring there, and maybe we after the dinner will see a football match, as London have so many strong football team. My favourite? A secret <8still..)"
"5995","Firstly, we were given the A la carte menu and told we were not able to have the menu that came with the experience as we booked more than 48 hours in advance. After some discussion we were given the set menu. Unfortunately, one of...More"
"5996","The service was great and they were very accommodating with my daughter individual needs. Food was delicious, especially the Beef Wellington."
"5997","Having experienced dozens of steak houses in and around London this establishment delivered in terms of service and quality.. Personally I thought it was slightly over priced when you take into account paying for sides and extras resulting in a decent steak meal but nothing...More"
"5998","The restaurant itself is nice enough, as is the service. The steak however tasted off, lacked flavour and left me feeling unwell in the night. As steak is their speciality you really wouldn’t expect it. We also had a voucher, which I found to be...More"
"5999","The choice of dishes from the fixed menu was very good and those dishes, when served, were delicious.  There was a lovely atmosphere in the room, a quite buzz of people enjoying themselves.  Our waiter was new, which may have been to our advantage as...More"
"6000","The building itself is stunning inside, the staff are very polite well mannered and respectful, we are already booking up our 2nd meal here as it was that good, we can’t recommend it enough."
