"","documents","ViaMobiles"
"170","We visited the London Steakhouse Company in Middlesex Street. The restaurant was very busy & we had a short wait to be seated which was fine.  We were taken to our table & the menu was explained to us , we were voucher people ...More","Mobile"
"171","Service was okay. Asked for a medium rare steak and got Medium. Supposed to be a top restaurant but below mediocre. c’mon, a Steak House that cant get a steak right???The experience was extremely expensive therefore did not represent value for money.What needs...More","Mobile"
"172","We have had to re book this lunch at least 5 times due to Lockdown and Covid restrictions and on every occasion we have found the restaurant very accommodating and so helpful to re book. When we eventually managed to attend the restaurant the staff...More","Mobile"
"173","Greeted by the Manager, he was so friendly. We were shown to our seats and from that moment we could not have been any better looked after. The staff are clearly so happy in their jobs, they were relaxed and smiling, and so nice to...More","Not Mobile"
"174","We went here last night as a celebration for my partners birthday. The team from waitress, food servers to the managers at the front were exceptional. Hardly any wait on anything. Food was amazing. The sticky toffee pudding was incredible - we would go back...More","Mobile"
"175","From arrival to finish the whole dining experience at this restaurant was terrible. We were seated right next to the bar where the staff were chatting, using loud cocktail shakers and collecting and clinking glasses right around us. It took around 20 minutes to order...More","Mobile"
"176","Had the best fillet steak ever here. The staff were really friendly and explained everything to us as this was our first visit. Can not wait to go back & I’ve told so many of my friends to try this out","Mobile"
"177","Went on a Virgin set menu deal with a £55 VIP upgrade. Decent choice of food from the set menu but you'll struggle to find wine under your £35 allowance. Steak was good but is literally a piece of meat with a sauce, anything else...More","Not Mobile"
"178","Visited as a wedding anniversary meal and met at the door by a guy who seemed to be the front of house manager. We soon had our first drinks order taken. At this point there was no mention of items missing off the menu. Took...More","Not Mobile"
"179","Myself and my daughter had the set meal as part of the Virgin experience. We were greeted very well, but as soon as we ordered left to it really. I had to grab a nearby waiter to order desert and to obtain the bill.The...More","Mobile"
"180","Excellent service from start to finishLovely atmosphere Great food Great cocktails Staff were on the ball and nothing was too much trouble Really lovely evening","Mobile"
"181","Despite the number of negative reviews, my wife Lin & I have just enjoyed a lovely evening meal at the London Steakhouse. We had the 3 course + cocktails voucher which I upgraded to the VIP experience in advance, & it was well worth the...More","Mobile"
"182","Fabulous. Best steak ever had. We all loved it, especially the teenage boys! It was busy but service was attentive and quick","Mobile"
"183","We had a lovely meal at the London Steakhouse and the staff were very helpful right from the beginning when I booked it over the phone. We were given all of the information we needed, the menu’s beforehand and great parking advice!! We were late...More","Mobile"
"184","Waiting time in this restaurant is unbelievable Arrived at 5 pm still here waiting for desert They are so slow food not that good either steak tuff and grisle","Mobile"
"185","After waiting 18 months, we finally booked our Shard/Macro Pierre White's London Steakhouse voucher to use.  Voucher says 3 course meal including a cocktail.  On arrival presented with the set menu that is also used for the Voucher customers.  It  included a lot of extra...More","Not Mobile"
"186","Service was excellent, second to none, my wife and I were well looked after by the team. Food was timely and portions good. Paid extra for the Ribeye which was delicious, (the part that could be eaten) it was approximately 40% fat so paid for...More","Not Mobile"
"187","Where do I start ?? 15 mins to take a drink order a further 1hr wait for the food to be served. We were offered a glass of champagne. Once the food had arrived it was terrible. My wife’s steak was very undercooked. I had...More","Mobile"
"188","On a voucher deal be prepared for a  lot of extras  chargers if you want a decent  steak or a side order bit of a con","Not Mobile"
"189","Terrible Service slow Overcharge Does not choose this restaurant!!!Arrived 20 min earlier manager send as to the barNo one offer as drink no service","Mobile"
"190","Enjoyed a great evening here using a Wowcher voucher. The good was delicious, staff very friendly and efficient.  Very busy restaurant with a lovely atmosphere. Would return.","Not Mobile"
"191","Honestly the worst dining experience we have ever had, we booked the virgin experience voucher for the shard with a 3 course meal and cocktail for two here. Nightmare booking to being with, woman was very rude on the phone. Managed to get a booking,...More","Mobile"
"192","Including in the virgin experience days vouch we did an upgrade at £55 for bottle of wine and two sides. Being told that the sirloin steaks were unavailable we ordered the Aberdeen Angus though we were not told about the extra cost until the end...More","Not Mobile"
"193","Not what I expected. The food was very average. Steak returned because it was very tough. Dessert not eaten apples hard. Service slow. Will not be doing anymore Virgin Experiences. A waste of money.","Mobile"
"194","This was pre-booked for 7 people on the set menu. My first impressions where looks very busy. We were greeted nicely at the door and our waitress was very good although I thought a little slow. The wine menu is on a QR code which...More","Not Mobile"
"195","We booked a trip to London just to eat here using the Virgin Experience Voucher. Unfortunately I didn't read the small print on the booking and went to the wrong restaurant in a different part of London! So a mad rush across London on the...More","Not Mobile"
"196","Had this as part of the Virgin Experience voucher.  Steak was lovely and wife had the Beef Bourginion which she enjoyed.   Nice atmosphere and efficient staff.Shame all the side dishes are so expensive though.","Not Mobile"
"197","Me and my partner had recently moved house and we needed an evening off from all the moving and cleaning. This was a Virgin Experience Day gift for my girlfriend and so we booked it for a Sunday evening. The atmosphere was fantastic, the waitress...More","Not Mobile"
"198","Myself and my Fiancée went for a birthday meal today and we were amazed by the service we received. The food was lovely, however, what was wonderful was the service we received from a waiter called Desmond. He ensured that we were topped up with...More","Mobile"
"199","The service was outstanding, staff friendly, polite and helpful. The food was delicious, and arguably the best steak I’ve eaten by a mile… I would highly recommend, and will be visiting again.","Not Mobile"
"200","Superb restaurant. Very lovely decor. Staff were fantastic considering everywhere we have been post Covid have blamed that for the reason service was poor. So well done all. There was a delay in starters but we didn’t mind as it was so lovely sitting there....More","Mobile"
"201","My partner and I went via a Virgin experience day bought for my 50th by my son.Everything was excellent apart from one thing.There needs to be chicken and maybe Tuna steak on the menu.Having recently been diagnosed with diverticulitis my body struggles...More","Not Mobile"
"202","Hyped up somewhat by Virgin Experience Days. The ambience in the Restaurant was nice, the food however was very average. Upgraded the Experience (£55 per couple), to include a side dish, bottle of water,  bottle of wine and tea/coffee. Just about value for money.Starters...More","Not Mobile"
"203","We were given a Virgin Experience voucher for a 3 course meal and cocktail. It was relatively easy to book and so we organised a lunch one Friday afternoon. When we arrived, we waited 10 minutes for a table. Once we had a table we...More","Not Mobile"
"204","My wife and I went here for a three course meal with cocktail on a voucher.booking was easy, we arrived when requested and were shown to our table very quickly.  It was a set three course menu - the sides are all extra, but...More","Not Mobile"
"205","Wasn’t very impressed. £7 for 3 prawns with no garlic! Just looked like they were from Aldi! Very standard no wow factor. Would rather spend £100 at Miller & Carter.","Not Mobile"
"206","Having received a voucher as a gift from work colleagues, I was excited to visit this restaurant. Sadly, we felt like, as customers with the voucher we were the poor relations. The staff weren’t attentive at all even forgetting to bring our drinks until we...More","Mobile"
"207","Booked table for 6.30 got there table not ready fair enough told to go to bar order drinks.Sat at bar for good 5 minutes before being acknowledged order drinks not a please thank you.Waiting on drinks table ready so sat down menu explained...More","Mobile"
"208","Service with a smile Eric, super polite just the right amount of humour, couldn't asked for better waiter, enjoyed every minute thank you","Mobile"
"209","Had a Virgin experience purchased for me and my Fiancé. We had a 3 course set menu with cocktail deal. The waiters were very attentive and pleasant. The table was dressed with white linens and a nice candle lampshade. The experience reminded us of being...More","Mobile"
"210","Me and my boyfriend came to London for the weekend we had a voucher which we purchased for a 3 course meal and drink including the shard viewing the shard was amazing but we were nothing but disappointed at the restaurant. We went here thinking...More","Not Mobile"
"211","We had a great experience here using a Virgin experience 3 course meal with side and cocktail. The cocktail was very good and the food excellent. Unfortunately out of the mains is only around 3 that are actually included in the deal. The only included...More","Mobile"
"212","I booked this as part of a Wowcher deal for my partner’s birthday, we found the staff very friendly and professional, I ordered the chateaubriand which was excellent however my partners steak was one of the Included steaks with the deal and was extremely tough...More","Not Mobile"
"213","Very pleasant Sunday lunch at London Steakhouse. All staff very welcoming and professional. They engaged well with us, and other diners, by asking about their visit and offering good advice and answers to any questions.  Food of good standard. Interesting wine list and good selection...More","Not Mobile"
"214","It’s a lovely  restaurant  food was delicious,all the staff were so friendly we had a great time will definitely be going again","Not Mobile"
"215","I ate here on the set menu and really enjoyed the food- there were a decent amount of options but most steaks require a supplementary charge on top of the price of the set menu. Upon booking I informed the restaurant that I have coeliac...More","Not Mobile"
"216","We had the 5 course menu and I can't fault it, all was delicious and greatly presented!Great staff and hope to go back again one day, highly recommended","Not Mobile"
"217","Food was very nice and the waiters themselves were polite and good at their jobs. However the two maitre-d's were borderline blunt. It was clear if you weren't going to spend hundreds of pounds they were not that interested in you or your experience. So...More","Not Mobile"
"218","Firstly some of the cutlery was missing and we had to ask for it, we paid for VIP treatment which meant we should’ve had a bottle of wine plus extras, we were given a bottle of water, after asking for wine when we had nearly...More","Not Mobile"
"219","We visited on the 31st July for our Wedding Anniversary and had a wonderful time. The food and staff were simply amazing and we chose the Chateaubriand, which was so tender and flavorful. It was wonderful and thoroughly enjoyed our experience and time there last...More","Mobile"
"220","We purchased a Virgin experience day - View of London from the Shard and a 3 course meal at London Steakhouse......can honestly say service was amazing, food was even more amazing and was just a great meal. The views from the Shard were just as...More","Mobile"
"221","We attended this on saturday at 3pm. We was welcomed on arrival very rudely, waited 20 minutes before anyone took a drink order then waited another 10 minutes to bring the drink.They brought out the wrong starter, and when the brought out the correct...More","Not Mobile"
"222","This was a Buy a Gift present from our daughter.The cocktails were good (Passion Jazz  and SW3) and the mains nice enough (8oz Rump and Braised Boeuf Bourguignon). However, the starter (Classic Prawn Cocktail A La Russe) which both my husband and I chose...More","Not Mobile"
"223","Drinks were amazing, food was out of this world, service was 10/10. Cannot fault our experience","Not Mobile"
"224","Restaurant was a nice atmosphere,  decor was nice. Service was not good, waitress introduced her self as said she would look after us , never saw her the till we paid. Had to ask for salt and pepper,  had to ask twice for water ,...More","Not Mobile"
"225","Like many others we had a Dining Experience voucher which had been given as a gift, the menu for what is included is average but if you want the steak it is an 8oz rump and that is all you will get for you main...More","Not Mobile"
"226","Visited the London Steakhouse on 28th July with my family with high expectations. Waitress was very unhelpful, but this was resolved as soon as the other waiters started to look after us. Visiting a ‘steak house’ you would expect the steak to be too quality....More","Mobile"
"227","Had the experience voucher given to us for a gift, but still paid heavily even without alcohol. The staff were brilliant, but the food was average. The restaurant is tired looking and the steak knife wasn't sharp enough. We will not return.","Mobile"
"228","Great service, dreadful food. I visited this restaurant last night with my family and the waiter was very attentive and helpful. However, the food was poor. Granted, it was a steak restaurant but I got the vegan option. The aubergine and the grain were both...More","Mobile"
"229","For my girlfriends birthday I bought a virgin experience at London Steak house. We were offered a glass of champagne which was nice but it went downhill from there. Prawn cocktail was drowned in sauce. The potted duck was tasteless. We thought it’s ok, this...More","Not Mobile"
"230","Friendly staff, reasonable decor and 5 courses for 2 people £65.00 on a Virgin voucher as a gift. Extra £10 for 2 small, beers, £5 to upgrade to a Steak!! and a £10 service charge took total charge to £90, which for London is not...More","Mobile"
"231","Not an amazing experience. We’re great for moving our table to later - we were waiting at bar for our table, we had the gift voucher for 3 course. The service was defintely quite slow, we got water, a few cocktails and the food was...More","Mobile"
"232","Service was excellent and the food was good. Thus was a birthday gift and we enjoyed the evening out,after so many months.Staff were courteous and knowledgeable.","Not Mobile"
"233","Cheap frozen chips,a salad to share that wouldn't feed a snail with a tiny appetite.The price on wine is absolutely shocking.we had one good steak and one that was tough,the pepper corn sauce tasted packet bought.To be fair,the staff were very nice.If you are pretentious...More","Not Mobile"
"234","Having bought a Virgin Experience voucher for a special birthday treat, we had high expectations for what is supposed to be a First Class restaurant.We could have chosen a range of restaurants for this experience, but we selected this restaurant based on its supposed...More","Not Mobile"
"235","Birthday voucher from a virgin experience food and staff great lovely atmosphere just felt like it was bit rushed starter was followed very quick by main and so on","Mobile"
"236","Slightly disappointed with our visit to this restaurant, I was expecting a better experience when you hear Marco Pierre’s name. It wasn’t worth the money. The food was average, had better steak at other places for a lot less money.  We have visited Marco Pierre’s...More","Mobile"
"237","This was a belated Christmas present for my mum & myself as part of a virgin experience day. We visited the Tower of London first. I had read lots of mixed reviews before visiting this restaurant and was not quite sure what to expect because...More","Not Mobile"
"238","Received a voucher from our daughters for our 25th Anniversary, covered 3 course meal. We opted to add some basic extras, instead of the rump steak included I paid upgrade to 10oz Rib Eye; “joke” I probably got 4oz of steak the rest was gristle...More","Mobile"
"239","Had such a lovely meal here, the waitress was absolutely incredible remembered all 4 of our orders 3 courses and a few sides each, she went above beyond! The issue being i had virgin vouchers, when making my booking i was asked if i would...More","Mobile"
"240","on arrival met by maitre d who could be best described as sullen. We had a Virgin gift voucher for set menu 3 course meal. Certain steaks and dishes are available if you pay a supplement. We opted for beef Wellington which was 9.50 extra...More","Mobile"
"241","We had a buy a gift voucher for this and due to checking reviews beforehand we already knew about the extra charges on top on the voucher so it wasn’t a shock as we were expecting it but I can see it wouldn’t be great...More","Not Mobile"
"242","The highlight of our visit to London this weekend was our reservation at the London Steakhouse for our 30th wedding anniversary on Sunday 18th July. The sat nav misbehaved and, as a result, we ended up getting there, hot and sweaty, 20 minutes late and...More","Not Mobile"
"243","The food, atmosphere and staff were all lovely and made my boyfriend and I feel like royalty. Our server Miguel was wonderful, he was polite and attentive.We visited using the virgin experience 3 course meal with VIP upgrade which was very good value. Every...More","Not Mobile"
"244","For a supposedly topped named resturant   there were too many things that disappointed us...lack of starters available, no rose wine available on their extensive wine list..a mix up in our mains which was solved by them representing us with the same steak with the sauce...More","Not Mobile"
"245","This restaurant is quite low-key in that you can’t see inside from outside. Waiters were friendly & the food is good. I can’t fault it","Mobile"
"246","Excellent restaurant, food exceptional. Have been here half a dozen times and always excellent . Staff very obliging and courteous.","Not Mobile"
"247","My partner and I visited the restaurant as a part of a Virgin Experience, it was a late Christmas gift, but due to Covid we couldn't go straight away.Initially we were welcomed by the two managers and they were lovely. We waited a fair...More","Not Mobile"
"248","The host was rude. At a steak house you’d expect them to be able to cook a steak as requested. Instead it came out well done. After sending the food back it did come back significantly better, with a rude host explaining how a steak...More","Mobile"
"249","My husband and I went for dinner here for our 31st anniversary. What a fabulous meal. The food is excellent and so was the service. The staff are all so polite and friendly and we didn’t feel rushed in any way. They asked if we...More","Mobile"
"250","Very welcoming ,clean and excellent food and service ,well recommended a lovely evening for myself and my husband","Not Mobile"
"251","Me and my partner recently visited having received a voucher for my birthday. Our table was booked for 7:15pm and when we sat down were given instructions on viewing the menu on our phones and how to order. By 7:45pm we had already had our...More","Not Mobile"
"252","Found the food average. The chips were a little bit burnt. I wanted my steak well done but the waiter advised the chef won't be happy if I was to have my steak well done. He suggested to try medium rare. My husband and I...More","Not Mobile"
"253","Part of Virgin Experience package.Excellent meal, friendly staff.Service a little slow - two parties that came in after us received their food before us.Wine good - I guess a 300% mark up is standard.","Not Mobile"
"254","All staff where lovely and very polite. Would definitely go again! Food was very quick and delicious.","Not Mobile"
"255","Very disappointing meal at the London Steakhouse.  Our starters were not great and the sticky toffee Pudding was served luke warm and very dry. The service was also very rushed, felt as if I was in a fast food restaurant!","Not Mobile"
"256","We brought this on a Wowcher deal for £55,You get 1 cocktail, starter, main and dessert each, you have to pay for any sides, so if you order steak you literally get a piece of steak, you pay extra for chips/mash and extra for...More","Not Mobile"
"257","Visited as part of a virgin experience. Fantastic service from every member of staff encountered. Great choice for all 3 courses and the cocktails. Restaurant itself is very welcoming, clean and spacious.","Not Mobile"
"258","We came specially to London to have a meal at this restaurant as we got a voucher on Christmas and due to COVID we’re only able to visit in July. We had high expectations since we both work in this industry and high end restaurants....More","Mobile"
"259","We searched in the website for a great dinner. Very expensive place for a standard service with starters and desert really disappointed. Dress code inexistent, t-shirt trainers, jumpers and jeans shorts is the normal dress. Unfortunately a bad we experience for us.","Not Mobile"
"260","We were brought this on buyagift and it was a lovely afternoon , nice place very peasant staff , roast beef was wonderful so were the cocktails , would definitely visit again","Not Mobile"
"261","The service was fantastic and the quality of the food was spot on. We had a great time and would recommend to anyone.","Not Mobile"
"262","Nice venue, food is lovely, however waiters become extremely snobby once they realise you have a Virgin experience. Was served a steak on a white plate with no garnish, sides cost as extra and are very displeasing.For a steak house the vegan plate is...More","Not Mobile"
"263","I booked this place for my boyfriends birthday dinner. Great food, great drinks, really enjoyed ourselves. Only downfall is the the restaurant is a little difficult to find.","Not Mobile"
"264","Used our Virgin experience 3 course voucher a little strange because if you pre book on line you get put into the A' la cart menu which then you lose your cocktails and they give you a  credit so that gets deducted from your final...More","Mobile"
"265","I received a Virgin experience day gift for a champagne meal for two, quite a while ago, but due to Corona virus, we had to postpone it. My daughter and I finally got to use this. The staff were friendly and professional. The venue itself...More","Not Mobile"
"266","Average venue, hyped as a special place to visit but nothing special. The food was very good and the service satisfactory. But we were expecting something a bit up Market. You do not need to pay extra for a visit to this establishment as you...More","Not Mobile"
"267","Me and my fiancee had a wonderful virgin experience gift voucher for Xmas that includedr a meal here and Shard experience. We knew we had the set menu that included 2 cocktails, all great. What I didn't know was that for steak meal would only...More","Not Mobile"
"268","As the title sales, we went as part of a package with the shard and it really isn't worth it. We ended up paying an extra £60 for a awful 3 course meal. The pudding came out 2 minutes after we ordered it and was...More","Not Mobile"
"269","We chose this restaurant as we are celebrating our first meeting 35yrs ago. We know the brand well and are always pleased at the level of service and the good quality food. We are always made to feel special when we attend any of this...More","Not Mobile"
"270","Had a lovely meal. Food was great. Service excellent and we both really enjoyed our visit. Menu not very extensive- only 3 deserts and cheese board was just cheddar but what there was was good value.","Not Mobile"
"271","Very friendly staff & excellent choice of food. We had their set menu & all 3 courses were delicious. I would definitely recommend The London Steakhouse to friends","Not Mobile"
"272","Very helpful staff, courteous and not overbearing. Explained our options very clearly. Excellent evening","Not Mobile"
"273","Had voucher but most things supplement. I have to pay for sides . Food was ok nothing to rave about. Service was quick","Not Mobile"
"274","we meet in the sunshine and entered an old favourite, lunch ending it was lively and welcoming. seated to the food and after started of prawn cocktail, soup and beeetroot salade all yes old favourites on to the steak. one person suggested confit excellent no...More","Not Mobile"
"275","Visited as part of Virgin's Shard/Marco experience.  Staff were attentive (and familiar with the voucher process (not so keen on waving the voucher about tho!).  Good customer care.We went for the ViP upgrade which I think was worth it.  Top quality food and drink....More","Not Mobile"
"276","This place is great! The atmosphere is pretty chill and the staff are also very friendly. They know what they are doing and what they are talking about, and you can tell making the customers happy and satisfied is their main priority. The food is...More","Not Mobile"
"277","Excellent service excellent food couldn't fault it would definitely visit again staff very polite and you were well looked after","Not Mobile"
"278","Location easy to find, staff attentive and the food excellent.  My first visit here and won’t be my last","Not Mobile"
"279","Wonderful food, beautifully presented,  tasted delicious and excellent fast service. Waiters polite. Everything was sparkling clean.","Not Mobile"
"280","We visited to use a voucher our children had bought us for our birthdays last year! We had a really lovely evening cocktails to start - included in the meal price. A delicious dinner and excellent service. Well worth a visit!","Not Mobile"
"281","Had a voucher for coctail and 3 course meal had a lovely meal staff friendly and helpful coctails were delicious","Not Mobile"
"282","The food and service was excellent, we both had ribeye steaks and both where absolutely beautiful melt in the mouth awesome flavour.  The restaurant is average nothing special, under the tablecloth was a weird heavy rubber sheet that kind of rested on my knees, bit...More","Mobile"
"283","We visited The London Steakhouse on Sat 3rd July and was expecting a very good experience given the name behind this, Marco Pierre White, and the level of prices. We both ordered the pea and ham soup as a starter. The soup was lukewarm and...More","Not Mobile"
"284","We used a Virgin Experience Voucher for a 3-course meal here.  You always wonder if you might get treated differently when you are a voucher customer, but I can confirm that we did not feel any different from any other customer.  Staff were very attentive...More","Not Mobile"
"285","We went there in July 21 using up a gift voucher from last year for a 5 course meal. The fact that we spent more than the value of the voucher is not the restaurant's fault but more a criticism of such vouchers as a...More","Not Mobile"
"286","Amazing service and the food was great, I could not fault a thing.We used a virgin experience, which was really worth the money, the portions of food were great and I enjoyed the best prawn cocktail I’ve ever eaten, enough sauce to cover the...More","Mobile"
"287","Very easy to find, staff were lovely, professional and polite, me and my partner went for a date night, food was beautifully presented and extremely delicious  (as they say quality over quantity) portion size was small but really filled you up! Drinks (cocktails) were tasty...More","Not Mobile"
"288","Lovely experience - went today and had a voucher which was for 3 courses and cocktail . Nice choice of courses, lovely presentation and delightful staff.  Would recommend","Mobile"
"289","My husband bought me a virgin experience voucher for Christmas and this was the first chance we had to use it. I’d read bad reviews so was a bit apprehensive. However the service was quick, staff were friendly and attentive and the found was really...More","Not Mobile"
"290","We had a fantastic meal with great service and attention to our needs. The staff were very helpful and the food was delicious","Not Mobile"
"291","Very polite staff especially our waitress. The food and drink were great as expected, I especially enjoyed the potato  croquettes.","Not Mobile"
"292","My husbands main course of a duck leg was beautifully presented. My main course of steak with pepper sauce came completely alone. If you wanted a side or a couple of sides it was an extra £6.50 per side. The steak I was given wasn’t...More","Not Mobile"
"293","Whole experience from start to finish was fabulous .Staff were very well trained and were so happy to assist . Jarnai our waitress was brilliant great knowledge of the menu and was very professional.","Not Mobile"
"294","My girlfriend & I visited for a late lunch on Thur 10th June with a 'dinning experience gift voucher'. The service, ambiance and food was all first class - We had a brilliant meal & time @ London Steakhouse Co [City] that day, many thanks...More","Not Mobile"
"295","We had a disappointing experience at the Steakhouse. More customer service than the food. We had prebooked dinner (Shard and dinner voucher), however we had an impromptu meeting with friends earlier and ate and were quite full when we got there. We did opt to...More","Not Mobile"
"296","Food was good, service was a little strange,I was asked if I wanted to order a bottle of wine( we upgraded our Virgin experience before we arrived to include a bottle of wine, coffee and desserts) but was not offered a wine list? I had...More","Not Mobile"
"297","Visited for my husbands 40th. Part of a virgin experience package. Very underwhelming.Service was great but food was so disappointing. Starter of goats cheese and beetroot salad: beetroot was sliced soo thin had no flavour and goats cheese less than a penny in dimension...More","Not Mobile"
"298","3 course meal with cocktails as part of a Groupon deal plus a visit to the Shard. Lovely steak and beef bourguignon. We had  fantastic service from very friendly attentive waiters - they even wrote happy Anniversary in chocolate on our dessert plates :-)","Not Mobile"
"299","Booked table for daughters 18th Birthday. Asked the restaurant to do something to note the occasion but nothing done. I ordered the fillet steak but was told they had run out, this was at 5pm! We had a side order of brocoli which amounted to...More","Not Mobile"
"300","Definitely worthed, steak was amazing,ribeye us a must try. We had the set menu but upgraded our food and it was worth it. We would definitely go again. Staff were very friendly, polite and professional. I appreciated the surprise i received at desert, being pregnant...More","Not Mobile"
"301","Unpleasant greeting upon arrival. Asked me how I was without if acknowledging me, then focused on something else as I was talking..Asked if I wanted water. Said yes, then took away my glasses and never brought water. Order sparking water, arrived in minutes. Ordered...More","Mobile"
"302","I was bought a 3 course meal experience for my birthday and the restaurant began to cause an embarrassing scene claiming it wasn't registered and wasn't valid. When that issue was resolved the food they served us was appalling and truly inedible in parts. The...More","Not Mobile"
"303","Visited the MPW London Steakhouse on Saturday with friends (6 people). Having visited previously I was keen to return, however this was a very different experience. There are no menus, you need to use your phone to access the menus (I understand during this covid...More","Not Mobile"
"304","Very disappointing. We were gifted the set menu which cost £55 and the bill should’ve ended there. The supplements were ridiculously overpriced at £6.50 for a mixed leaf salad or greasy fries or an extra £14 for a decent sized steak. They also didn’t have...More","Mobile"
"305","The meal was excellent... the service was superb too ... cannot wait to rebook it.   We were given a 5 course meal and cocktail gift which ... we added some wine and a few other extras to make it a real night to remember.","Not Mobile"
"306","We had a voucher as a gift didn’t like any of the cocktails on the set menu so ordered 2 pimms which cost £22.00 with very little pimms in. Paid extra £10.50 for a fillet steak which was very nice however meal came with one...More","Not Mobile"
"307","Great food, great service, great offer.We all had a wonderful time and will certainly return.Thank you.","Not Mobile"
"308","Such wonderful staff - very welcoming, friendly, informative and helpful.  This restaurant is situated very close to Liverpool Street Station but also an easy bus ride from London Bridge and probably by tube from practically anywhere.  Love the atmosphere.  It is always buzzing, but not...More","Not Mobile"
"309","Had a lovely meal albeit rather expensive for the side dishes, waitresses were very polite and friendly.","Not Mobile"
"310","Our 3rd visit to this restauarant As usual excellent service, excellent food, good atmosphere. 1 small thing I didnt like was the scan for the menu. I know its a covid measure and certainly didnt spoil our evening, just prefer a menu in hand. We...More","Not Mobile"
"311","Bought this as a Virgin Experience VIP package.   Arrived on time but was kept waiting by the bar for ten minutes without being offered a drink. I can’t fault the staff, who were friendly and efficient, but I cannot believe Marco Pierre White has his...More","Mobile"
"312","This visit was part of a gift from our son. When we arrived, the staff were very attentive and helpful. We were shown straight to our table and given time to order what we wanted. There was a good range on the menu with a...More","Not Mobile"
"313","Was looking forward to this for a long time as bought for my wife and I as gift by one of our sons pre pandemic.Unfortunately things went down hill from the start!! Arrived and was greeted by what turned out to be the Matra...More","Not Mobile"
"314","Me and my sister had a great meal in theLondon Streak HouseWe enjoyed all the courses and the cocktails.","Not Mobile"
"315","My partner was bought the 'Shard and Meal at Steakhouse' voucher for his 60th, which had to be postponed for a year due to covid19. So a long awaited treat it was for us. We were given a lovely cool area to sit, the weather...More","Not Mobile"
"316","Had a virgin experience gifted to us costing 65 pound. Three course And a side including a cocktail,  can’t fault the food or drinks at all was nice , although from a limited menu !   Service was on point.   The restaurant was very tired tho...More","Not Mobile"
"317","Had been before and was looking forward to the Wellington and ham hock but they didn't have either, so that was a shame but service was excellent and atmosphere good too","Not Mobile"
"318","My hubby had a 14 oz ribeye and I had a 10 oz tail on ribeye. We ordered medium rare for both but mine was almost well done while hubby’s was medium. The quality of meat is good though and also their service.","Mobile"
"319","Poor Quality and Overpriced!Booked for my daughters 18th Birthday mentioned this at time of booking. I was told they would do something at the table but nothing done.I ordered a fillet steak, the waitress returned a few moments later to say sorry they...More","Not Mobile"
"320","I had a fantastic meal and really enjoyed it. The staff we really friendly good costumer service. :)","Not Mobile"
"321","Been today Sunday 20th June. Had a Groupon voucher for 2 people and rest of family members g 5 ordered from menu. Ok when we arrived the all went down hill. Had to keep calling waiter over for drinks. Ordered starter cause we didn’t know...More","Not Mobile"
"322","Meal wasnt great ....fries where burnt think Macdonalds do better , steak disappointing  and for  what they charge  it was a poor show , staff weren't  bothered or interested n our complaint  either....not a great experience","Not Mobile"
"323","On a weekend break to London had a meal booked for Saturday evening really looking forward to quality meal and was very disappointed food was basic and very over priced so surprised that Marco Pierre white would put his name to that","Not Mobile"
"324","Was bought a Virgin experience with the Shard and dinner here with the extra bits and upgrades etc cost us another £80-100 do not mind that but £6.50 for sides seems steep for a bit of Broccoli food was average we still had a good...More","Not Mobile"
"325","I was excited to visit, with my Virgin Experience Gift and booked the Shard for mid afternoon in advance, with the intention of booking dinner for the evening. When I saw that you could only book 2 days in advance to get the 3 course...More","Not Mobile"
"326","We had a lovely champagne lunch here to celebrate our anniversary before we headed back home to oxford.The staff were lovely and the lighting in the restaurant was very relaxing.we had a wonderful waitress who brought out a surprise gift and pudding complete with a...More","Mobile"
"327","Food and drinks were amazing, staff were friendly and welcoming, what more could you ask for? We will definitely be booking again!","Not Mobile"
"328","Absolutely amazing food and above and beyond service by Anastas and Zlatica! Beautiful sirloin steak and beef Wellington so thank your chefs and kitchen staff! Thank you for the Malbec recommendation it was the best Malbec I’ve had in my life so far! Would come...More","Mobile"
"329","Overpriced in my opinion. Steak knives were blunt! And I informed the waiter but all the knives were blunt as they have all Been used equally so I had to pull my steak apart. I probably won’t be going back.","Not Mobile"
"330","Nothing was too much trouble helped me to the table. So attentive throughout by all staff. Wonderful atmosphere, friendly staff and above all excellent food. We will return.","Not Mobile"
"331","We were given a gift of a three course meal at the restaurant - which I know was not cheap. The menu choices were fairly limited and whilst more choices were available the majority of these were at a supplement. We ended up paying over...More","Not Mobile"
"332","Visitied the restaurent as park of a virgin experience package Restaruent was clean and had a realy nice atmosphere, Covid guidelines were followed, dress code was smart casual but on a hot day there should be some liency towards men in shorts , the day...More","Not Mobile"
"333","We had a lovely lunch, however had to wait 30 mins for our main meal and many other people that came in the restaurant after us were served before us.  I order 1 glass of HOUSE  white wine and when the bill came I was...More","Not Mobile"
"334","We were bought a voucher for lunch. The food was delicious however lots of options had extra costs on top of the set menu voucher cost. Not just larger steaks but sides etc too. With 2 bottles of wine, 1 soft drink, 6 sides and...More","Not Mobile"
"335","Visited here on Saturday (12th June), our table was booked for 8:45pm. We arrived and were promptly seated. The service was amazing and the food was absolutely outstanding. No stone was unturned, the table setting, the layout of the restaurant, and even the timing between...More","Not Mobile"
